1;108800
1;110600
1;91800
1;91900
1;92100
2;92200
1;92300
3;92400
5;92500
2;92600
3;92700
4;92800
6;92900
10;93000
14;93100
12;93200
8;93300
8;93400
12;93500
15;93600
10;93700
18;93800
17;93900
29;94000
18;94100
20;94200
19;94300
31;94400
27;94500
27;94600
37;94700
29;94800
26;94900
28;95000
34;95100
36;95200
29;95300
56;95400
45;95500
49;95600
32;95700
38;95800
41;95900
37;96000
42;96100
40;96200
58;96300
44;96400
47;96500
34;96600
26;96700
30;96800
40;96900
35;97000
24;97100
31;97200
20;97300
32;97400
19;97500
17;97600
18;97700
14;97800
14;97900
9;98000
10;98100
8;98200
6;98300
10;98400
3;98500
3;98600
4;98700
1;98800
2;98900
1;99000
2;99300
1;99400
1;99500
